date (yyyy-mm-dd),sample_id,year_month,sampling_round ,observer_id,weather,area,utm_box,utm_northing,utm_easting,group_size,reindeer_age,reindeer_sex,antler_tines_left,antler_tines_right,antler_tines_total,ground_condition,poop_type,comments
2024-06-12,277,2024-06,28,PE_MT,clouds,Adventdalen,33X,8677721,524130,34,adult,male,2,2,4,moss,summer,
2024-06-12,278,2024-06,28,PE_MT,clouds,Adventdalen,33X,8677490,524054,34,adult,male,2,2,4,moss,winter,
2024-06-13,279,2024-06,29,PE_MT,clouds_wind,Adventdalen,33X,8677696,523142,8,adult,male,1,1,2,unknown,winter,
2024-06-13,280,2024-06,29,PE_MT,clouds_wind,Adventdalen,33X,8677696,523150,5,adult,male,4,3,7,moss,unknown,
2024-06-13,281,2024-06,29,PE_MT,clouds_wind,Adventdalen,33X,8677738,522928,1,adult,male,5,6,11,rock,summer,
2024-06-13,282,2024-06,29,PE_MT,clouds_wind,Adventdalen,33X,8677772,523225,7,yearling,male,1,1,2,moss_grass,summer/winter,
2024-06-13,283,2024-06,29,PE_MT,clouds_wind,Adventdalen,33X,8677770,523211,7,adult,female,1,1,2,moss_grass,summer,
2024-06-13,284,2024-06,29,PE_MT,clouds_wind,Adventdalen,33X,8677743,523273,8,adult,male,2,3,5,moss_grass,unknown,
2024-06-13,285,2024-06,29,PE_MT,clouds_wind,Adventdalen,33X,8677796,523243,8,adult,male,2,2,4,moss_grass,summer/winter,
2024-06-13,286,2024-06,29,PE_MT,clouds_wind,Adventdalen,33X,8678993,520885,4,adult,male,3,3,6,unknown,unknown,
2024-06-13,287,2024-06,29,PE_MT,clouds_wind,Adventdalen,33X,8679038,520865,NA,adult,male,3,3,6,NA,NA,
2024-06-19,288,2024-06,30,PE_MT,NA,Adventdalen,33X,8679694,519221,NA,adult,male,4,4,8,NA,NA,
2024-06-19,289,2024-06,30,PE_MT,NA,Adventdalen,33X,8679742,519247,NA,adult,male,4,3,7,NA,NA,
2024-06-26,290,2024-06,31,PE_MT,NA,Adventdalen,33X,8677947,521905,NA,adult,male,5,5,10,NA,NA,
2024-06-26,291,2024-06,31,PE_MT,NA,Adventdalen,33X,8677458,522108,NA,adult,male,4,4,8,NA,NA,
2024-06-26,292,2024-06,31,PE_MT,NA,Adventdalen,33X,8677461,522129,NA,adult,male,6,10,16,NA,NA,
2024-06-26,293,2024-06,31,PE_MT,NA,Adventdalen,33X,8677486,522148,NA,adult,male,4,4,8,NA,NA,
2024-06-27,294,2024-06,32,PE_MT,NA,Adventdalen,33X,8677726,523640,NA,adult,male,6,5,11,NA,NA,
2024-06-27,295,2024-06,32,PE_MT,NA,Adventdalen,33X,8677458,523771,NA,adult,male,2,2,4,NA,NA,
2024-06-27,296,2024-06,32,PE_MT,NA,Adventdalen,33X,8677686,524558,NA,adult,male,3,3,6,NA,NA,
2024-06-27,297,2024-06,32,PE_MT,NA,Adventdalen,33X,8677747,524682,NA,yearling,female,1,1,2,NA,NA,
